Name,Pos,Team,Opp,Salary,Roster%,25th,50th,Proj,75th,85th,25th/$,50th/$,Proj/$,75th/$,85th/$
CeeDee Lamb,WR,DAL,NYG,17700,0.16,12.98,19.32,30.62,27.17,31.29,0.73,1.09,1.73,1.53,1.77
Malik Nabers,WR,NYG,DAL,16200,0.08,10.13,14.7,24.38,21.06,24.94,0.63,0.91,1.5,1.3,1.54
Dak Prescott,QB,DAL,NYG,15600,0.16,14.26,19.26,29.95,25.01,28.4,0.91,1.23,1.92,1.6,1.82
Daniel Jones,QB,NYG,DAL,14100,0.1,11.65,15.98,25.19,21.28,24.37,0.83,1.13,1.79,1.51,1.73
Devin Singletary,RB,NYG,DAL,12300,0.15,9.91,14.87,23.89,20.84,24.58,0.81,1.21,1.94,1.69,2.0
Jake Ferguson,TE,DAL,NYG,10500,0.06,6.42,10.29,17.17,15.15,18.66,0.61,0.98,1.64,1.44,1.78
Brandin Cooks,WR,DAL,NYG,10200,0.03,4.63,8.07,14.22,12.8,15.75,0.45,0.79,1.39,1.25,1.54
Rico Dowdle,RB,DAL,NYG,9600,0.06,6.25,9.92,16.73,14.58,17.45,0.65,1.03,1.74,1.52,1.82
Ezekiel Elliott,RB,DAL,NYG,9300,0.03,4.15,7.49,12.98,12.24,14.87,0.45,0.8,1.4,1.32,1.6
Jalen Tolbert,WR,DAL,NYG,8700,0.02,3.43,6.36,11.26,10.5,13.33,0.39,0.73,1.29,1.21,1.53
Cowboys,DST,DAL,NYG,8100,0.01,2.96,5.93,9.99,8.89,10.87,0.37,0.73,1.23,1.1,1.34
Brandon Aubrey,K,DAL,NYG,7500,0.02,4.96,7.94,12.54,10.91,12.9,0.66,1.06,1.67,1.45,1.72
Wan'Dale Robinson,WR,NYG,DAL,7200,0.05,5.18,8.37,14.06,12.46,14.95,0.72,1.16,1.95,1.73,2.08
Greg Joseph,K,NYG,DAL,6600,0.01,3.94,6.9,11.06,9.86,11.83,0.6,1.05,1.68,1.49,1.79
KaVontae Turpin,WR,DAL,NYG,6000,0.0,0.0,1.4,3.28,3.11,4.51,0.0,0.23,0.55,0.52,0.75
Giants,DST,NYG,DAL,5400,0.02,2.06,5.15,8.47,8.24,11.32,0.38,0.95,1.57,1.53,2.1
Darius Slayton,WR,NYG,DAL,4800,0.03,2.91,5.62,10.23,9.63,12.14,0.61,1.17,2.13,2.01,2.53
Tyrone Tracy Jr.,RB,NYG,DAL,4200,0.0,1.5,3.05,6.24,5.89,8.33,0.36,0.73,1.49,1.4,1.98
Theo Johnson,TE,NYG,DAL,3600,0.01,1.52,3.14,6.15,5.77,8.0,0.42,0.87,1.71,1.6,2.22
Jalen Brooks,WR,DAL,NYG,3000,0.0,0.0,0.0,2.0,1.9,2.9,0.0,0.0,0.67,0.63,0.97
Daniel Bellinger,TE,NYG,DAL,2400,0.0,0.0,1.4,2.95,2.9,4.0,0.0,0.58,1.23,1.21,1.67
Deuce Vaughn,RB,DAL,NYG,1800,0.0,0.0,0.71,2.5,2.23,3.34,0.0,0.39,1.39,1.24,1.86
Luke Schoonmaker,TE,DAL,NYG,1500,0.0,0.0,0.0,1.85,1.8,2.7,0.0,0.0,1.23,1.2,1.8
Hunter Luepke,RB,DAL,NYG,1200,0.0,0.0,0.21,1.66,1.68,2.41,0.0,0.17,1.38,1.4,2.01
Jalin Hyatt,WR,NYG,DAL,900,0.0,0.0,0.9,2.57,2.4,3.5,0.0,1.0,2.86,2.67,3.89
Eric Gray,RB,NYG,DAL,600,0.0,0.0,0.1,1.43,1.44,2.16,0.0,0.17,2.38,2.4,3.6
Bryce Ford-Wheaton,WR,NYG,DAL,300,0.0,0.0,0.0,1.55,1.71,2.31,0.0,0.0,5.17,5.7,7.72
Brevyn Spann-Ford,TE,DAL,NYG,300,0.0,0.0,0.0,0.96,0.0,1.79,0.0,0.0,3.2,0.0,5.96
Ryan Flournoy,WR,DAL,NYG,300,0.0,0.0,0.0,1.82,1.86,2.79,0.0,0.0,6.07,6.2,9.3
Chris Manhertz,TE,NYG,DAL,300,0.0,0.0,0.0,0.83,0.0,1.7,0.0,0.0,2.77,0.0,5.65
Jakob Johnson,TE,NYG,DAL,300,0.0,0.0,0.1,1.41,1.42,2.13,0.0,0.34,4.7,4.73,7.1
